Nome;Idade;Peso (kg);Altura (m)
Vinicius Arag∆o;05/04/2001;95.58;1.57
Dra. Bianca Dias;06/06/1926;63.14;2.08
Jo∆o Felipe Rocha;23/01/2009;69.57;1.44
Luna Carvalho;29/08/1988;111.11;1.92
Melissa Carvalho;05/08/1948;129.32;1.99
Srta. Marina Monteiro;27/05/1903;113.58;1.6
Cau∆ Rodrigues;20/12/1905;88.38;1.42
Luiza Castro;01/04/1904;133.56;1.81
Vitor Gabriel Nascimento;17/07/1980;51.05;2.04
Thiago da Conceiá∆o;14/09/1950;55.8;1.44
Maria Vit¢ria Oliveira;04/02/2012;103.9;1.82
Kevin da Rocha;12/02/2002;104.81;2.04
Srta. Sarah Martins;09/05/1900;60.67;1.94
Samuel Dias;19/11/1975;135.53;2.03
Carlos Eduardo da Conceiá∆o;11/03/1914;80.14;2.07
Sra. Daniela da Paz;26/03/1906;67.07;1.4
Mariana Rocha;24/03/1942;98.11;2.07
Isis Oliveira;15/06/1904;129.74;1.63
Sra. Let°cia Dias;01/09/1967;140.29;2.1
Igor Lima;15/02/1913;135.26;1.64
Esther Barros;16/11/1949;148.25;2
Isadora Rezende;09/11/1989;113.97;1.93
Dra. Esther Souza;20/05/1966;148.22;1.81
B†rbara Freitas;13/05/1992;81.95;1.57
Alana Ribeiro;04/08/1980;133.08;1.59
Jo∆o Pedro Cavalcanti;14/01/2022;87.91;1.53
Matheus Barros;12/05/1914;80.28;1.49
Lara Costela;28/12/1942;60.16;1.54
Maria Alice Costela;03/05/1983;115.7;1.79
Yago Santos;07/10/1975;70.75;1.88
Augusto Almeida;20/05/2015;96.33;1.65
Matheus Gomes;28/11/1960;147.19;1.95
La°s Pires;03/02/1965;58.85;1.96
Vinicius Nogueira;06/09/1938;100.51;1.44
Francisco Martins;13/12/2012;81.84;1.77
Arthur Costela;15/01/1987;77.32;1.72
Eduardo Carvalho;23/11/1918;82.04;1.9
Raul Barbosa;29/06/1984;82.28;1.94
Joaquim Caldeira;10/08/2015;103.95;1.77
Danilo da Conceiá∆o;27/08/1928;146.34;2.01
Emilly Barros;09/11/1919;91.32;2.08
Lorena Cardoso;14/08/1943;96.22;2.06
Leandro Ramos;10/10/2002;81.83;1.76
Carlos Eduardo Almeida;16/08/1965;116.41;1.4
Amanda Duarte;19/04/1970;86.21;1.56
Nathan Carvalho;19/08/1941;126.14;1.87
Pietro Ferreira;22/08/1972;87.59;1.55
Laura Rodrigues;31/05/1946;92.28;1.56
Sra. Clara Mendes;03/08/1968;50.56;1.97
Emanuella Freitas;10/12/1995;45.18;1.53
Ana Beatriz Rezende;30/08/1989;122.4;1.54
Diego Cardoso;05/01/1969;68.85;1.6
Jo∆o Miguel Gonáalves;02/05/1931;129.23;1.74
Pedro Henrique da Paz;06/01/1900;103.09;1.49
Kaique da Cunha;11/08/1956;93.99;2.03
Clara das Neves;18/06/1907;92.63;1.84
Sarah Porto;07/11/1946;92.5;1.68
Al°cia Barbosa;10/12/1961;84.64;1.93
Igor Moraes;13/08/1966;69.04;1.81
Melissa Moraes;04/11/1933;43.71;1.97
Gabriela Nascimento;03/05/1908;43.14;1.44
Clarice Ara£jo;08/07/2001;149.57;1.72
Dra. Alice Nunes;09/06/1944;56.77;1.6
Dra. Pietra Cunha;04/12/1908;110.73;1.92
Maria Clara Jesus;16/03/2023;141.86;1.73
Olivia Barbosa;15/09/1940;68.72;1.49
Valentina Alves;17/05/1998;60.43;1.91
Srta. Clara Nunes;31/01/1964;109.13;1.94
Levi Lopes;24/02/1924;59.08;1.71
Maria Vit¢ria da Paz;08/02/2016;141.33;1.8
Larissa Fogaáa;21/09/1951;117.25;1.77
Davi Lucas Silva;27/11/1943;147.7;1.44
Matheus Souza;15/07/1981;121.31;1.51
Kamilly Melo;12/05/1970;115.42;1.86
Caio Ribeiro;25/11/1963;80.48;1.82
Isabella Ribeiro;07/12/2011;98.49;1.77
Pedro Henrique Fernandes;15/10/1917;101.35;1.51
Gabrielly Freitas;24/12/1958;115.12;1.59
Elisa Castro;15/10/1919;134.16;1.86
Isis Peixoto;09/12/2020;48.56;1.6
Enzo Freitas;13/11/1931;120.14;1.77
Ot†vio Souza;25/07/1922;143.77;1.85
Jo∆o Guilherme da Paz;04/02/1991;112.45;1.95
Srta. Olivia Rodrigues;09/11/1932;117.68;1.53
Sra. Ana L°via da Costa;03/09/1924;55.01;1.87
Thales Silveira;02/04/1981;100.84;1.42
Srta. Maysa Jesus;26/03/1909;91.85;1.78
Davi Luiz Dias;21/11/1979;56.31;1.46
Thales Moreira;06/03/1933;96.85;1.64
Rafaela Ferreira;10/02/1929;61.26;2.08
Renan Ferreira;22/03/1981;84.05;1.75
Larissa da Rocha;15/09/1956;58.18;1.92
Ana Luiza das Neves;28/03/1905;133.92;1.41
Jo∆o Miguel Costela;05/02/1971;56.97;2.02
Pedro Lucas da Paz;20/02/1945;112.87;1.87
Joaquim Rezende;15/08/1939;142.73;1.89
Elisa Nascimento;17/09/1907;59.69;1.79
Vitor Gabriel Lima;15/02/1938;145.84;1.67
Sra. Maria Eduarda Campos;08/06/1979;106.47;2.02
Manuela Freitas;12/05/1984;134.1;1.57
Larissa Cardoso;12/04/1945;125.59;1.45
Sofia Gomes;04/06/1917;109.76;1.47
Luana Cardoso;19/01/1974;50.78;1.83
Pietra da Mata;01/11/1912;116.7;1.92
Ian Dias;13/10/1919;89.11;1.8
Vicente Martins;08/07/1974;101.89;1.5
Lorenzo Correia;19/02/1946;137.61;1.86
Ana Lopes;29/12/1983;62.5;1.95
Srta. Isabella Cavalcanti;15/12/2000;106.11;1.87
Ian Almeida;24/05/1943;133.36;1.63
Samuel Vieira;03/02/1917;88.8;1.66
Emanuella Moraes;19/01/1982;134.12;1.48
Bernardo da Costa;29/09/1973;142.69;2.02
L°via Azevedo;19/05/1917;70.94;1.47
Olivia Viana;04/02/1941;133.83;1.56
Miguel da Mata;15/01/2012;97.66;1.75
Alexia Santos;31/08/1964;89.91;1.93
Dra. Mirella Silveira;03/02/1923;110;1.73
Sra. Caroline Costela;14/12/1978;42.12;1.87
Melissa Silveira;23/01/1980;121.79;1.59
Davi Lucas Porto;04/12/2001;96.29;2.02
Thomas Jesus;24/03/1966;45.04;1.44
Ian Viana;29/12/1911;60.09;1.82
Luiz Felipe Rodrigues;16/04/1963;109.27;1.99
Ana Carolina Correia;14/10/2013;83.61;2.09
Lorenzo Moraes;29/06/1995;120.18;1.71
Pedro Henrique Viana;04/12/2005;120.95;2.08
Igor Pinto;02/11/1948;113.49;1.64
Igor Castro;01/08/1968;134.62;1.67
Benjamin Ara£jo;24/08/1925;115.66;1.61
Valentina Ribeiro;25/11/1927;106.85;1.76
Mariane Carvalho;23/06/1932;87.3;1.98
Laura Nascimento;06/08/1976;130.79;1.8
Isabel Gomes;05/02/1912;60.43;1.61
Anthony Monteiro;06/04/2022;107.76;1.56
Augusto Viana;23/08/1906;75.91;1.88
Maria Eduarda Nogueira;17/03/1957;105.88;1.52
Vitor Hugo Almeida;15/04/1970;101.87;1.41
Anthony Martins;16/05/1915;58.99;1.7
Diogo Pereira;30/09/1986;71.86;1.85
Lorenzo Jesus;28/11/2002;67.99;1.99
Isaac da Conceiá∆o;12/09/1966;42.64;1.59
Dra. Bruna Campos;07/04/1979;50.08;2.09
Al°cia Sales;07/03/1946;118.65;2.04
Leonardo da Conceiá∆o;02/06/2011;86.54;1.76
Camila da Rocha;15/05/2024;83.75;1.63
Sophie Teixeira;17/07/1970;131.64;2.08
Dra. Maria Alice Costa;20/03/1975;102.04;2
Lucas Caldeira;24/06/1910;50.91;1.49
Renan das Neves;14/12/1927;113.84;1.92
Luiz Henrique Pereira;03/04/2015;142.94;1.73
Milena Carvalho;21/12/1976;128.24;2.06
Maria Alice Rezende;30/01/1972;148.83;1.96
Eduarda Nogueira;25/03/1904;50.12;2.02
Nina Pinto;05/08/1997;51.69;2.06
Brenda Cardoso;20/12/1977;61.55;1.73
Isabelly Monteiro;11/12/1988;115.78;1.99
J£lia da Paz;27/05/2002;71.14;2.08
Leandro Duarte;14/12/2019;47.56;1.55
Arthur das Neves;28/07/1982;51.9;1.47
Giovanna Nunes;17/07/2007;149.4;2.08
Caroline Nogueira;14/10/1983;70.01;1.54
Melissa da Rocha;02/02/1981;91.62;1.94
Al°cia das Neves;07/04/1915;108.21;2.05
Heitor Carvalho;17/03/2023;126.79;1.48
Alana da Costa;06/08/1913;45.61;1.88
Raul Gomes;03/01/2009;138.24;1.81
Joana Oliveira;11/10/1943;102.08;1.96
Mariane da Luz;14/04/2024;71.57;1.74
Joaquim Nunes;26/05/1941;82.25;1.74
Sra. Ana Luiza Ferreira;16/03/1984;122.81;1.63
Augusto Teixeira;10/11/1931;64.52;1.79
Alana da Costa;08/01/1950;146.42;1.95
Paulo Porto;30/08/1965;136.6;1.93
Joaquim Duarte;18/12/1990;129;1.71
Diego Sales;12/01/1925;63.92;1.78
Jo∆o Guilherme Fogaáa;26/03/1941;53.22;1.44
Luiz Gustavo Correia;14/10/1966;112.38;1.78
Marcos Vinicius Jesus;06/08/1932;118.61;1.51
Dra. Fernanda Mendes;07/09/2000;98.42;1.94
Pedro Henrique Moraes;14/03/1945;97.96;1.74
Enzo Rocha;21/02/2023;86.53;2.02
Lara Silva;28/05/1959;70.04;1.47
Isadora Costela;11/07/1960;75.72;1.98
Isabelly Costela;03/04/1902;130.83;1.61
Vitor Hugo Santos;10/04/1925;65.74;1.94
Vitor Hugo Caldeira;16/08/1981;76.03;1.41
Fernando Campos;11/03/1926;65.33;2.05
Nicolas Almeida;15/10/1968;97.2;1.68
Nina Alves;16/11/1988;73.92;1.94
Levi Duarte;23/05/1900;55.54;1.47
Mariane Santos;04/06/1917;43.63;1.92
Sra. Isis Moura;13/02/1974;117.32;1.42
Kevin da Rocha;12/04/1996;69.13;1.68
Beatriz Souza;05/12/2021;142.72;1.67
Yuri Gomes;09/04/1959;119.03;1.96
Calebe da Rocha;25/02/1916;107.51;1.66
Srta. Maità Nascimento;12/09/1959;66.31;1.6
Enzo Gabriel Sales;18/09/1905;148.63;1.63
Nathan Campos;21/04/2020;86.63;2.08
Heitor da Rosa;10/04/1902;50.73;1.67
Dra. Maria Eduarda Santos;26/09/1966;58.67;1.52
Cau∆ Fernandes;28/10/1919;126.9;1.81
Heitor Pereira;02/02/1983;102.63;1.4
Srta. Maità Monteiro;09/04/1907;147.39;1.79
Lorena Rocha;02/03/1938;91.37;1.87
Guilherme Cardoso;21/07/1978;81.3;1.99
B†rbara Barros;10/05/1974;119.99;1.75
Maria Alice Ara£jo;12/12/2014;80.61;1.68
Luiz Ot†vio Cunha;04/11/1986;91.43;1.9
Sophie da Luz;02/05/1960;78.43;1.76
Pedro Lucas Costela;24/01/1909;99.85;1.69
Luiz Henrique Barros;04/07/2004;120.5;1.65
Ana Vit¢ria Ferreira;10/05/1931;47.6;1.98
Davi Lucas Carvalho;10/12/1994;63.85;1.57
Bruna Oliveira;29/12/1959;91.19;1.54
Pedro Cunha;22/04/1979;81.2;1.58
Mariana Oliveira;06/10/1985;47.59;1.87
Srta. Ana Laura Nunes;13/12/1939;49.55;2.03
Lara Costa;30/08/1971;82.91;1.85
Maria Luiza Rodrigues;06/06/1934;99.84;1.54
Gustavo Henrique Cardoso;30/09/1921;78.4;1.96
Gabriela Ribeiro;23/07/1989;80.95;1.58
Giovanna Oliveira;18/11/1922;102.8;1.61
Gustavo Henrique Cardoso;12/04/1957;135.83;1.65
Juan Fogaáa;04/08/1947;108.38;1.71
Maria Sophia da Mota;07/05/1987;114.19;2.05
Marcos Vinicius das Neves;01/02/1935;109.88;1.42
Vinicius Gomes;09/07/1985;84.12;1.85
Paulo Barbosa;01/03/2016;107.3;2.06
Luiz Miguel Lopes;10/11/1996;43.85;2.05
Paulo Moraes;09/01/1912;108.06;1.42
Valentina Oliveira;29/05/1994;93.97;1.77
Jo∆o Vitor Lima;05/11/2012;59.93;1.89
Nicolas Alves;21/08/1998;46.98;1.52
Luiz Felipe Pereira;17/02/1927;99.29;1.98
Helena Cardoso;19/03/1944;50.38;1.88
Mariane Jesus;20/04/2016;147.86;1.46
Sra. Marina Nogueira;27/03/1987;109.21;1.66
Rodrigo Pires;22/07/1999;108.61;1.99
Sra. Isabelly Sales;20/09/1996;124.34;1.47
Samuel Mendes;07/01/1960;96.63;1.8
Brenda Almeida;27/11/1962;69.32;1.88
Pietra Nascimento;15/03/1938;88.08;1.72
Henrique Dias;17/12/1909;142.59;2.03
Francisco Cavalcanti;17/01/1980;126.72;1.48
Pedro Henrique Nunes;24/01/2018;51.8;1.76
Pedro Nascimento;18/08/2007;108.67;1.51
Isaac Vieira;09/06/2020;55.35;1.8
Marina Pereira;30/01/1974;60.5;1.76
Luiz Felipe Moura;05/10/1937;114.23;1.64
Isabel Rezende;15/09/1978;59.45;1.49
Alexia da Paz;18/03/1986;51.31;1.82
Davi Oliveira;14/05/1916;104.91;1.79
Luiz Miguel Gomes;24/09/1978;95.14;1.87
Dra. Helena Almeida;19/07/1967;139.83;1.51
Emanuel Peixoto;01/12/1956;79.44;1.41
Miguel Correia;02/03/1935;63.79;1.41
Emanuella Silveira;06/01/1973;113.94;1.82
Maria Vit¢ria da Cunha;15/06/1983;135.1;1.95
Gabrielly da Conceiá∆o;11/06/1969;69.79;2.03
Dra. Julia Dias;29/08/1903;51.53;1.92
Theo da Mata;15/01/1970;119.21;1.76
Jo∆o Lucas Castro;27/05/2017;88.6;1.98
Valentina Ara£jo;08/03/1962;92;1.41
Breno Oliveira;22/01/1905;104.84;2.01
Evelyn Souza;05/07/1958;113.03;1.85
Rafael Correia;28/03/1952;132.17;1.66
Ana Beatriz Alves;04/11/1985;40.29;1.71
Arthur Almeida;27/10/1964;86.26;1.63
Calebe Carvalho;29/04/1961;102.65;1.45
Dra. Let°cia Souza;05/09/1997;78.63;2.08
Davi Lucca da Mata;12/01/1924;65.22;1.7
Lorena Ara£jo;04/05/1986;79;1.98
Joaquim Teixeira;13/11/1974;54.29;1.74
Isaac Porto;11/09/1982;64.23;1.94
Daniela Gomes;10/10/1924;112.16;2.02
Maria Julia Fogaáa;03/02/1968;129;1.44
Lara Ara£jo;22/10/1908;66.47;1.52
Davi Lucas da Cruz;15/01/1925;113.15;1.5
Erick Silveira;09/07/1933;51.94;1.71
Davi Lucca Novaes;28/03/2013;116.41;1.48
Larissa Cardoso;21/07/1935;121.42;1.7
Nina Lopes;15/12/2000;47.14;1.88
Pietro Dias;15/02/2023;144.79;1.78
Mariane Moraes;29/04/1945;125.06;1.54
Nina Moraes;29/01/2000;64.43;1.67
Marcela Campos;05/03/1994;123.43;1.56
Caio Pereira;07/04/1929;65.09;1.81
Alexia Pinto;06/12/1990;60.31;1.74
Amanda Teixeira;21/06/2005;110.53;1.94
Jo∆o Guilherme Pinto;18/03/1989;132.39;2.09
Daniel Novaes;01/08/1919;85.1;1.86
Eloah Lopes;25/07/1966;57.36;1.59
Igor Ramos;03/02/1969;139.67;1.72
Lucca Castro;02/08/1955;110.01;1.93
Olivia Freitas;06/03/2002;51.97;1.92
Amanda Cunha;23/01/1929;57.52;1.9
Larissa Costa;05/08/1903;143.89;1.51
Daniela da Paz;27/08/1971;146.4;2.08
Luiz Gustavo Barbosa;10/08/1979;113.86;1.91
Maria Eduarda Monteiro;14/02/1940;92.17;1.45
Srta. Emanuelly Vieira;27/02/1933;101.76;1.49
Yago Almeida;19/04/1904;139.32;1.97
Vitor Gabriel Ramos;19/12/1924;70.37;1.68
Dra. Helo°sa da Mata;31/05/1950;92.76;1.87
Gabriela Farias;17/03/1954;100.3;1.64
Ana Vit¢ria Dias;19/05/2015;127.98;1.88
Isis Nascimento;02/04/1946;145.6;1.5
Dra. Mirella da Mata;24/04/1901;60.08;1.63
Bianca Costela;27/03/1918;60.88;1.93
Luiz Felipe Costa;15/04/1968;113.54;1.58
Jo∆o Lucas Moraes;29/10/2024;48.83;1.88
Noah Arag∆o;26/05/1934;53.68;1.63
Davi Peixoto;19/03/1945;43.23;2.1
Larissa Cardoso;25/08/1928;58.72;2.09
Maria Fernanda Dias;23/10/1971;92.85;1.7
Emanuella Melo;22/02/1953;58.68;2.06
Thales Monteiro;25/09/1971;145.08;1.71
Levi Cunha;04/04/2001;78.36;1.41
Sra. Maria Luiza das Neves;19/05/1994;77.59;1.77
Luiz Miguel Martins;21/08/2009;49.23;1.43
Marcelo Ara£jo;01/10/1976;80.94;2.1
Bernardo da Conceiá∆o;14/02/1965;85.91;1.49
Marcela da Conceiá∆o;14/12/2009;84.78;1.56
Emilly Fogaáa;03/11/2007;133.64;1.46
Laura Barros;13/06/1940;56.28;2.04
Joana Monteiro;08/01/2018;141.1;1.68
Pedro Henrique Vieira;13/09/1945;65.53;2.04
Luiz Fernando Pinto;26/04/1983;96.6;1.58
Eduardo Viana;18/09/1958;83.71;1.67
Guilherme da Cunha;18/09/1983;138.48;1.64
Diego Jesus;12/05/1957;44.56;2
Ana Vit¢ria da Rocha;06/04/1939;139.29;2.05
Luiz Miguel Barbosa;26/03/1949;111.26;1.97
Enrico Costela;14/09/1973;129.85;1.67
Murilo Mendes;23/04/1942;41.86;1.44
Samuel Cavalcanti;13/11/1973;96.27;1.46
Srta. Kamilly Barros;06/06/1985;109.26;1.63
Miguel Rodrigues;11/02/1958;117.15;1.8
Maità Rocha;08/01/1978;94.85;1.46
Ana J£lia Costela;04/07/1931;64.39;1.71
Isis Nascimento;19/02/2008;60.66;1.42
Milena Cardoso;04/09/1965;113.19;1.59
Olivia Pires;14/06/1989;148.02;1.67
Pedro Miguel da Mota;25/10/1909;116.5;1.79
Manuela Jesus;03/06/1914;52.61;2.06
Enzo Duarte;13/12/1913;104.29;2.04
Joana Vieira;30/07/1961;50.04;1.77
Daniel da Mata;01/09/1928;106.76;1.65
Srta. Vit¢ria Moraes;22/10/2011;46.18;2.06
Cauà Moura;17/11/1906;57.65;1.51
Kevin Correia;08/02/1993;94.47;2.04
Jo∆o Pedro Sales;29/11/2017;118.13;1.73
Luiz Gustavo Ramos;31/03/1940;89;1.68
Evelyn Barbosa;20/05/1903;91.63;1.64
Isabelly Monteiro;22/04/1936;40.77;1.56
Felipe Fogaáa;09/03/2009;108.97;1.65
L°via Jesus;11/10/1988;98.06;1.79
Maria Luiza Rezende;02/12/1977;98.9;1.48
Raquel Viana;25/06/1962;48.88;1.84
Matheus Duarte;04/02/2024;121.95;1.82
Caio Pinto;19/03/1918;61.06;1.79
Ana Beatriz da Mota;23/04/1967;45.14;1.45
Dra. Alana Martins;04/03/1939;78.56;1.81
Vitor Hugo Arag∆o;20/07/1903;50.37;1.96
Ana Beatriz Viana;23/04/1981;97.69;1.5
Ben°cio Sales;02/05/2003;47.71;1.81
Jo∆o Vitor Nascimento;10/11/1910;44.24;1.49
Fernanda Moreira;12/11/2020;63.1;1.59
Benjamin Teixeira;16/11/2015;117.44;1.72
Vitor Silveira;20/06/1943;46.33;1.58
Guilherme Fogaáa;05/09/1904;66.26;1.82
Helo°sa da Conceiá∆o;01/07/1949;116.19;1.88
B†rbara Lima;16/11/1919;108;1.65
